poste,lieu,entreprise,salaire,note,description
Assistant contrôle des données péage en alternance F/H,Semoutiers-Montsaon,APRR,Non renseigné,"4,2","Un entretien, avec le manager-recruteur et le chargé de recrutement RH pour en apprendre davantage sur le poste, et à l'issue duquel la décision de vous…&hellip;
Compétences: Bureautique"
Alternance - Data Scientist (H/F),Paris,Galileo Global Education France,Non renseigné,"2,9","Paris School of Technology & Business, école innovante en tech et business, recherche pour son entreprise partenaire, dans le domaine de l’automobile, un.e Data…&hellip;
Compétences: Google Cloud Platform, SQL, MacOS, Intelligence artificielle, Python"
Data Analyst JV Coût du risque - RUN et FORECAST (H/F),Mérignac,BNP Paribas,Non renseigné,"3,8","Vous êtes titulaire d'un Bac + 5, en mathématique appliqué ou statistique et vous avez une expérience de 3 ans minimum en tant que Data Analyste, de plus, vous…&hellip;
Compétences: SAS"
Data Analyst Expérimenté (H/F) - LILLE,Lille,Caisse d'Epargne Hauts de France,Non renseigné,"4,0","Vous imaginez les solutions data correspondantes en étant force de proposition avec une bonne connaissance des analyses et outils existants.&hellip;
Compétences: Power BI, Alteryx"
Chargé de Gestion Data F/H,Niort,Maif,28 k € - 32 k € (fourni par l’employeur),"4,0","Vous prendrez en charge des demandes de traitements de données, vous vous assurerez du bon fonctionnement des outils de gestion de bases de données de…&hellip;
Compétences: Power BI, Microsoft Excel, Veille économique, Service client, Esprit d'analyse"
Actuaire Data Epargne (F/H),Nanterre,AXA,Non renseigné,"4,1","Présente sur l'ensemble du territoire, AXA France se distingue comme la filiale la plus importante du Groupe en termes de chiffre d'affaires et d'effectifs.&hellip;
Compétences: Power BI, ADP, Python"
Alternance Data/Pilotage (H/F),Strasbourg,Crédit Agricole Alsace Vosges,Non renseigné,"3,8","Organiser et documenter l’ensemble des process BI de l’entreprise. Vous maitrisez l’informatique et les outils de BI,.&hellip;
Compétences: Microsoft SQL Server, Opérations bancaires"
Architecte Cloud Data GCP - CCOE - France,Courbevoie,Sopra Steria,Non renseigné,"3,6","Suivant les missions qui vous sont confiées, vous êtes amené(e) à évoluer au sein d'équipes internes Sopra Steria dans l'accompagnement des Verticaux Métiers…&hellip;
Compétences: Go, Service client, Anglais, Google Cloud Platform, Java"
Responsable Applicatif DATA H/F,Marcq,CGI FINANCE,Non renseigné,"3,9","Un projet d'entreprise ambitieux, innovant et engagé fondé sur le digital et la satisfaction client. Gestion de la donnée décisionnelle, de sa captation et…&hellip;
Compétences: Cognos, Power BI, SAFe, Oracle, SAS"
DATA ANALYST TABLEAU,Paris,UCASE CONSULTING,40 k € - 45 k € (fourni par l’employeur),"4,6","Expérience significative (3 à 5 ans minimum) en développement sur Tableau. Assurer l?intégration des données issues de différentes sources (bases SQL, API,…&hellip;
Compétences: Modélisation de données, Bases de données relationnelles, Tableau, SQL, Opérations bancaires"
Administrateur base de données Maria DB / My SQL (H/F),Aix,ACD Groupe,Non renseigné,"5,0","Vous accompagnez les équipes interne et les clients sur l’apport de solutions adaptées aux besoins et à l’environnement technique.&hellip;
Compétences: SQL, Linux, MySQL"
Responsable Stratégie Référencement et Performance Data Produit H/F,Lezennes,Leroy Merlin,Non renseigné,"3,9","Contribuer à co-écrire la stratégie métier du référencement et de la performance data produit en lien avec les objectifs globaux de l’entreprise.&hellip;
Compétences: Agile"
Data Scientist IA,Paris,VISIAN,48 k € - 56 k € (fourni par l’employeur),"4,8","La connaissance du monde de l'asset management, de l'ESG, de la finance serait un plus. Capacité à gérer des projets en autonomie (Recueil des besoins clients,…&hellip;
Compétences: Gestion d'actifs, SQL, Intelligence artificielle, Python"
Data Manager Europe H/F,Palaiseau,Selescope,70 k € - 80 k € (fourni par l’employeur),"4,3","De formation supérieure Bac + 4/5 en Informatique (école d'ingénieur ou université) avec une spécialisation Data (Data Science, Informatique décisionnelle,…&hellip;
Compétences: Espagnol, Power BI, Azure, Microsoft SQL Server, Anglais"
EOS Quality Food Safety Data & Integration Expert F/M/X,Sommières,Royal Canin S.A.S,Non renseigné,"4,3","Proven experience in data management, analysis, and reporting within manufacturing or food production environments. + 5 years’ experience in R&D / Q&FS roles.&hellip;
Compétences: Anglais, Sécurité alimentaire"
Senior Financial Data Analyst | Deals (M&A) | CDI | H/F,Neuilly,PwC,Non renseigné,"3,7","Dans ce contexte, l'équipe Deal Analytics, en fort développement, réalise des analyses approfondies afin d'apporter des éclairages nouveaux à ses clients, à…&hellip;
Compétences: Power BI, Alteryx, Anglais, Tableau, Finance d'entreprise"
Stagiaire Project Manager - Data H/F,Courbevoie,ENGIE,Non renseigné,"3,9","Accompagner l'entité pour évaluer sa conformité à la Data policy du Groupe (la référence pour toute activité liée aux données et comment la data doit être gérée…&hellip;
Compétences: Anglais"
Chef de Projet Data/Data Scientist (H/F),Champagne,Crédit Agricole Centre Est,Non renseigné,"3,8","Diplômé(e) minimum d’un Bac+5 en statistiques, data science ou informatique décisionnelle, vous justifiez de 6 ans d’expérience minimum sur un poste similaire,…&hellip;
Compétences: Modélisation de données, SAS, Analyse de données, SQL"
Entreprise Architect Data – H/F,Levallois-Perret,BNP Paribas,Non renseigné,"3,8","Vous êtes à l’aise pour communiquer en anglais et en français à l’écrit et à l’oral. Vous êtes capable de gérer un sujet en mode projet.&hellip;
Compétences: Français, Anglais, Technologies de l'information"
Data Engineer H/F,Strasbourg,Crédit Agricole Alsace Vosges,37 k € (fourni par l’employeur),"3,8","Assurer l'intégrité et la qualité des données. Concevoir, développer et maintenir des bases de données robustes et performantes.&hellip;
Compétences: SQL"
Administrateur de base de données H/F,Saint-Ouen,BRIGADE DE SAPEURS-POMPIERS DE PARIS,2 k € (fourni par l’employeur),"4,2","Tout diplôme de niveau BAC+2 en lien avec l’informatique et les bases de données. Assurer le soutien des systèmes d’information et de communication courant,…&hellip;
Compétences: Microsoft Windows Server, Microsoft SQL Server, SQL, PostgreSQL, SAN"
STAGE DATA SCIENTIST IA GÉNÉRATIVE / NLP / RAG H/F/X,France,Société Générale,Non renseigné,"3,6","Etudiant en 2ième ou 3ième année d’école d’ingénieur ou d’une formation orientée data science / software engineering, vous connaissez le cycle de vie d’un…&hellip;
Compétences: TensorFlow, GitLab, Python"
Data Analyst H/F,Île-de-France,Isagri,Non renseigné,"3,8","En lien permanent avec les directeurs et chargés d’études, vous serez en charge de mettre à disposition les data les plus pertinentes pour les différentes…&hellip;
Compétences: Développement web, Service client, SQL, Services aux visiteurs"
Alternance - Data Analyst (H/F),Paris,Metaverse college,25 k € (fourni par l’employeur),"2,0","L'école Metaverse College de PARIS recherche un(e) alternant(e) pour des entreprises partenaires dans les secteurs de la technologie, de la finance, et de…&hellip;
Compétences: Analyse de données"
DATA ANALYST SENIOR - SAP BW H/F,Champs,UGAP,Non renseigné,"2,3","Expérience : Vous avez au moins 5 ans d’expérience dans un rôle similaire et vous maîtrisez les outils SAP BW (Bex, Query Designer) et SAP BI4.&hellip;
Compétences: SAP BW/4HANA"
CDI - Technicien Mesure eau - Validation de données H/F,Rozérieulles,SGS,26 k € (fourni par l’employeur),"3,3","Vous êtes titulaire d'un BAC, BAC PRO ou BUT chimie / métiers de l'eau minimum, avec idéalement une première expérience sur le terrain.&hellip;
Compétences: Bureautique"
Alternant – Coordinateur Supply Amont & Data,Vert-le-Grand,Groupement Les Mousquetaires,Non renseigné,"3,7","Suivre la composition des stocks et de la dette fournisseur entrepôts en lien avec la direction et le contrôle de gestion, établir les projections sur l’année…&hellip;
Compétences: Power BI, Microsoft Access, Veille économique, Approvisionnement"
Data Scientist - énergies renouvelables H/F,Lorient,Hays France,40 k € - 55 k € (fourni par l’employeur),"3,5","Définition de la stratégie de mise en production et de monitoring des modèles (MLOps),. Étude, comparaison et évaluation des différents modèles,.&hellip;
Compétences: Statistiques, Anglais, Python"
Online Data Analyst - French Language,France,TELUS International AI Inc,Non renseigné,"3,5","Daily access to a broadband internet connection, computer, and relevant software. No previous professional experience is required to apply to this role, however…&hellip;
Compétences: Français, Anglais"
Chef de section collecte & administration des données de comptage Adjoint H/F,Metz,UEM,31 k € - 34 k € (fourni par l’employeur),"4,5","Réséda assure également pour tous les usagers du réseau électrique, quel que soit leur fournisseur, le relevé des compteurs, les interventions techniques et le…&hellip;
Compétences: Expérience en gestion d'équipe, Électricité, Gestion d'équipe, Sens de l'organisation, Compétences en communication"
Data Engineer Banque (H/F),Saint-Ouen,Inetum Capital Market,Non renseigné,"3,2","Inetum a conclu des partenariats stratégiques avec 4 grands éditeurs mondiaux - Salesforce, ServiceNow, Microsoft et SAP et poursuit une stratégie…&hellip;
Compétences: Bases de données relationnelles, Spark, Git, Anglais, Scala"
Data analyst,Paris,TO B SERVICES,40 k € - 50 k € (fourni par l’employeur),"4,0","Maintien en condition opérationnelle et adaptation du patrimoine de données (scripts, KPI, dashboards).&hellip;
Compétences: QoS, Analyse de données, Agile, Python"
Stage – Chef de Projet Data Integration H/F,Limoges,Legrand,Non renseigné,"3,8",""" Conformément à notre accord Groupe France sur la prévention et l'insertion du handicap, tous nos postes à pourvoir sont ouverts aux personnes handicapées. "".&hellip;
Compétences: Microsoft SQL Server, SQL"
Data Scientist H/F,Paris,Nindô Group,45 k € - 70 k € (fourni par l’employeur),Non noté,"Vous serez impliqué(e) sur *des projets Data Science de bout en bout* chez nos clients *grands comptes*, et vous serez en charge de :&hellip;
Compétences: TensorFlow, Power BI, Azure, Tableau, SQL"
Data Engineer,Paris,Sancare,40 k € - 50 k € (fourni par l’employeur),Non noté,"À l’échelle de l’hôpital, cela représente une quantité massive de données, qui sont largement sous-exploitées. Expérience de développement sous Linux.&hellip;
Compétences: Git, SQL, Docker, GitHub, Linux"
Alternant Data Analyst,Courbevoie,Siemens Gamesa,Non renseigné,"4,3","Travailler en binôme avec l’équipe Amélioration Continue pour automatiser les processus. Vous participerez à l’analyse et à la valorisation des données afin de…&hellip;
Compétences: Power BI, Anglais, Bureautique"
Data Scientist Junior,Clermont-Ferrand,Weenat,Non renseigné,"5,0","Weenat recherche actuellement un.e data-scientist junior, afin de participer au développement de nos projets de R&D et à l’amélioration continuelle de nos…&hellip;
Compétences: Analyse de données, Anglais, Analyse statistique, Python"
Sales Data,Saint-Ouen,Inetum Capital Market,Non renseigné,"3,2","En tant que Développeur Senior Marketing et Data Cloud, vous intégrez l'équipe projet, depuis nos locaux et chez nos clients et prenez en charge les processus…&hellip;
Compétences: Salesforce Marketing Cloud, Salesforce, SQL, ServiceNow, Marketing"
Chef de Projet Data,Paris,OREL SERVICES,40 k € - 65 k € (fourni par l’employeur),"2,8","Pilotage de projets data (datawarehouse, data lake, BI). Maîtrise des outils de gestion projet (Jira, Confluence). Suivi de planning, risques, budgets.&hellip;
Compétences: Jira, Power BI, Azure, SQL, Confluence"
Alternant.e Data analyst (H/F),Courbevoie,ENGIE,Non renseigné,"3,9","Créer des visualisations de données claires et accessibles à l’aide d’outils avancés (Power BI). Devenez un « Transition Maker » et construisez un parcours…&hellip;
Compétences: Power BI, Logistique"
Data Scientist,Paris,Spore.Bio,Non renseigné,Non noté,"Familiarity with data processing and backend tools (e.g. pandas, FastAPI). Define and scope data acquisition needs to improve model training and generalization.&hellip;
Compétences: Azure, Google Cloud Platform, Deep learning"
Alternance – Expert.e Data (H/F),Bordeaux,Galileo Global Education France,Non renseigné,"2,9","En tant qu'Expert en Data Feed en alternance chez Feedastic, vous serez au cœur de notre stratégie de marketing numérique, travaillant à l'intersection des…&hellip;
Compétences: Compétences rédactionnelles"
Data Engineer H/F,Paris,Meedz,45 k € (fourni par l’employeur),"4,0","*Évaluation technique* : Analyser la faisabilité et la complexité des projets pour recommander les meilleures solutions. Connaissances en Python (un atout).&hellip;
Compétences: Google Cloud Platform, MongoDB, Java, JavaScript, Terraform"
Data Analyst F/H,Paris,La Banque Postale,Non renseigné,"3,8","De formation bac + 4/5 en MIAGE, MASS, Informatique, Statistiques, vous avez 5 à 10 ans d'expérience en Data. Vous disposerez d’un package complet composé d’une…&hellip;
Compétences: Microsoft Powerpoint, SAS, Microsoft Office, SQL, Esprit d'analyse"
Chef de projets data et IA,Nanterre,AXA,Non renseigné,"4,1","Conduire et accompagner à la réussite les initiatives transformationnelles data de l’IARD Entreprise et Professionnels, souscription et actuariat de par ces…&hellip;
Compétences: Power BI, Analyse de données, SharePoint, Intelligence artificielle"
Concepteur Développeur SI & Data Industrie F/H,Bourges,MBDA France,Non renseigné,"4,5","Établissement soumis à enquête administrative conformément aux dispositions des articles R.2311-1 et suivants du code de la défense et de l’IGI n°1300 du 09…&hellip;
Compétences: Node.js, Git, Anglais, Java, Docker"
Data scientist - Computer vision H/F/X,France,Société Générale,Non renseigné,"3,6","En plus de manipuler des modèles avancés de type Transformers et des architectures multi taches, vous participerez également à tout le processus d’un projet…&hellip;
Compétences: TensorFlow, Statistiques, Spark, Deep learning, NLP"
"Manager Data Product Owner – Energy, Utilities, Industrial Product & Services | CDI | H/F",Neuilly,PwC,Non renseigné,"3,7","Notre communauté Data et IA en France réunit actuellement 300 experts (Data Strategists et Architects , PO/PM Data, Data Scientists, Engineers ou Analysts ) ,…&hellip;"
Senior Data analyst - Paris (75) H/F,Paris,Rexel,Non renseigné,"3,7","Issu(e) d'un Bac + 5, type diplôme d'ingénieur (statistiques, mathématiques, informatique, data science ou équivalent), et justifiant au minimum de trois ans…&hellip;
Compétences: Power BI, R, QlikView, Analyse de données, Tableau"
DATA ANALYST (F/H),,Expectra,41 k € - 42 k € (fourni par l’employeur),"3,5","Développer des spécifications métier, des demandes de données, des rapports, des analyses et des visualisations pour assurer un suivi précis et fiable de la…&hellip;
Compétences: Power BI, SQL, Python"
Ingénieur Data - Aix-en-Provence (H/F),Aix,OGF,Non renseigné,"2,6","Vos qualités d’analyse et de modélisation ainsi que votre aptitude à travailler en parallèle sur différents projets mais aussi votre curiosité sur les aspects…&hellip;
Compétences: Power BI, Azure, Microsoft SQL Server, SQL"
Data Manager Europe H/F,Palaiseau,Selescope,70 k € - 80 k € (fourni par l’employeur),"4,3","De formation supérieure Bac + 4/5 en Informatique (école d'ingénieur ou université) avec une spécialisation Data (Data Science, Informatique décisionnelle,…&hellip;
Compétences: Espagnol, Power BI, Azure, Microsoft SQL Server, Anglais"
Data Analyst JV Coût du risque - RUN et FORECAST (H/F),Mérignac,BNP Paribas,Non renseigné,"3,8","Vous êtes titulaire d'un Bac + 5, en mathématique appliqué ou statistique et vous avez une expérience de 3 ans minimum en tant que Data Analyste, de plus, vous…&hellip;
Compétences: SAS"
ALTERNANCE - DATA ANALYST - F/H,Bois-Colombes,NaTran,Non renseigné,"4,4","Participer à une approche test & learn pour créer des solutions sur mesure et répondre aux besoins des utilisateurs. Une réelle envie d'apprendre.&hellip;
Compétences: Power BI, CSS, Développement web, SQL, JavaScript"
EXPERT DATA - H/F,Le Luc,E.Leclerc,40 k € - 47 k € (fourni par l’employeur),"3,4","Etes titulaire d'un Bac+5 en informatique avec une expérience minimum de 3 années (hors alternance/stage) dans un poste similaire.&hellip;
Compétences: Bases de données, SQL, PostgreSQL, GitLab, Compétences en communication"
Responsable Gouvernance & Accessibilité des Données F/H,Paris,MGEN,Non renseigné,"3,4","Issu(e) d’une formation supérieure en business analyst et ingénieur SI, vous avez au minimum 5 ans d’expérience sur la qualité de données et de la data et…&hellip;
Compétences: Power BI, SQL"
"Alternance - Chargé de Projets Digitaux, Data et Automatisation (H/F)",Granville,E2SE Business School,2 k € (fourni par l’employeur),"3,6","Data : automatiser la collecte et l’analyse de données. Créer des synergies entre nos outils. Ton sens de l’organisation. Explorer de nouveaux outils no-code.&hellip;
Compétences: Sens de l'organisation, SharePoint"
Responsable commercial data center H/F,Lyon,Hays France,45 k € - 55 k € (fourni par l’employeur),"3,5","Notre client est un fournisseur de solutions énergétiques apurés d'un large panel de clients. Identifier, développer et acquérir de nouveaux clients selon votre…&hellip;
Compétences: Vente, Anglais"
Alternance Data/Pilotage (H/F),Strasbourg,Crédit Agricole Alsace Vosges,Non renseigné,"3,8","Organiser et documenter l’ensemble des process BI de l’entreprise. Vous maitrisez l’informatique et les outils de BI,.&hellip;
Compétences: Microsoft SQL Server, Opérations bancaires"
Apprenti Data Analyst / Ingénieur de données,Lezennes,ECOLAB,Non renseigné,"3,7","Niveau requis : Bac+4/5 – École d’ingénieur ou Master en informatique, data, ou équivalent. Étudiant(e) en école d’ingénieur ou Master avec une spécialisation…&hellip;
Compétences: Python"
Alternance - Contrôleur de Données (H/F),Saint-Avé,Studi CFA,486 € - 2 k € (fourni par l’employeur),"2,0","Assurer une veille technique, juridique et réglementaire. Excellentes compétences en communication et esprit d’équipe.&hellip;
Compétences: Compétences en communication"
Ingénieur(e) d'Affaires Senior DATA CYBER IA pour l'industrie,Boulogne-Billancourt,Thomas Search Consulting,55 k € - 70 k € (fourni par l’employeur),Non noté,"Suivre activement le déroulement des projets de vos équipes, en garantissant la satisfaction client et le bien-être des consultants.&hellip;"
Data Scientist (H/F),Paris,Fifty-Five,Non renseigné,"3,9","Ces missions couvrent l’application de méthode de machine learning pour l’optimisation de la conversion sur le site et de la performance du mix média digital…&hellip;
Compétences: Anglais, SQL, Machine learning, Python"
Data Engineer,Fontenay,Axone Data,30 k € (fourni par l’employeur),"4,2","Participer aux projets R&D Big Data réalisées en interne ou chez nos clients.. Solide socle technique (BI / Big Data / Traitement des données / Analyse…&hellip;
Compétences: Java, SQL, Scala, Python"
Alternance - Data Analyst (F/H),Courbevoie,Bureau Veritas,23 k € - 29 k € (fourni par l’employeur),"3,4","Accompagner les équipes métiers dans l'appropriation et l’utilisation des outils développés. Vous avez un excellent niveau d’anglais, à l’écrit comme à l’oral,…&hellip;
Compétences: Analyse de données, Anglais, Gestion de projet, Bureautique, Python"
Data Engineer F/H | Alternance,Télétravail,DataScientest,Non renseigné,"3,0","Issu(e) d’une filière scientifique ou informatique ou d’un diplôme d’ingénieur,. Organiser l’architecture du cloud,. Un diplôme ou titre RNCP de niveau Bac +5,.&hellip;
Compétences: Informatique, Azure, Java, C++, Architecture de réseau"
Chargé de Veille et Data – H/F/X,Paris,CIDJ,3 k € (fourni par l’employeur),"4,2","Vous êtes titulaire d'un bac+5 dans le domaine du management de l’information, de la veille ou des nouvelles technologies de contenus numériques avec une…&hellip;
Compétences: XML, Analyse de données, Esprit d'analyse, HTML"
Responsable applicatif DATA,Lille,FED IT,60 k € (fourni par l’employeur),"3,9","Appliquer les principes d’architecture définis pour l’ensemble du système d’information. Si vous avez un attrait pour la facilitation agile, ce poste vous offre…&hellip;
Compétences: Cognos, Power BI, SAFe, Oracle, SAS"
Data Analyst H/F,Tourcoing,DataKhi,35 k € - 50 k € (fourni par l’employeur),Non noté,"Tu es force de proposition sur la conception et l’utilisation des solutions data. Manipuler la donnée, l’exploiter et l’interpréter afin d’en dégager des…&hellip;
Compétences: Power BI, Analyse de données, Anglais, Google Cloud Platform, SQL"
Data Scientist H/F,Paris,LBESOFT,40 k € - 55 k € (fourni par l’employeur),Non noté,"Obtient des données adéquates, trouve les sources de données pertinentes, fait des recommandations sur les bases de données à consolider, modifier, rapatrier,…&hellip;
Compétences: ServiceNow"
Développeur Python/ Big Data - Junior (IT) / Freelance,Paris,NEXORIS,Non renseigné,"4,3","Vous serez responsable du développement et de la maintenance du back-end, en assurant l'ingestion, la transformation et la mise à disposition des données (ETL)…&hellip;
Compétences: Big data, Spark, Esprit d'analyse, Python, Hadoop"
CONSULTANT DATA / POWER BI,Paris,UCASE CONSULTING,Non renseigné,"4,6","Connaissances en data lineage et documentation technique. Expérience significative sur l?écosystème Microsoft Azure & Power BI. Base de données : SQL Server.&hellip;
Compétences: Power BI, Azure, Microsoft SQL Server, Anglais, SQL"
Alternance - Data Engineer Junior (H/F),Issy-les-Moulineaux,Transdev,Non renseigné,"3,1","C’est en étant attentifs à chacun que l’on permet à tous d’avancer. De la structuration des développements des traitements d’intégration de données hétérogènes…&hellip;
Compétences: Git, SQL, Python"
Data Scientist H/F,Paris,Data kanyon technology,38 k € - 40 k € (fourni par l’employeur),Non noté,"Nous recherchons un data scientist ou une data scientist passionné(e) par l'analyse de données et l'intelligence artificielle avec des connaissances solides en…&hellip;
Compétences: SAS, R, Google Cloud Platform, SQL, Machine learning"
Chef de Projet Data/Data Scientist (H/F),Champagne,Crédit Agricole Centre Est,Non renseigné,"3,8","Diplômé(e) minimum d’un Bac+5 en statistiques, data science ou informatique décisionnelle, vous justifiez de 6 ans d’expérience minimum sur un poste similaire,…&hellip;
Compétences: Modélisation de données, SAS, Analyse de données, SQL"
Chef de Projet Data Management et Analytique H/F,Le Plessis-Robinson,MBDA France,Non renseigné,"4,5","Rejoignez l’équipe Business Solutions & Improvement de notre direction Achats, Supply Chain et Politique Industrielle et apportez votre expérience du management…&hellip;
Compétences: Power BI, QlikView, Anglais, SQL, Gestion de projet"
Consultant expérimenté Data Product Owner | CDI | F/H,Neuilly,PwC,Non renseigné,"3,7","En France, couvrant ainsi toute la chaîne de valeur, de la stratégie à l'exécution, afin d’accompagner nos clients sur l’ensemble de leurs métiers et de leurs…&hellip;"
STAGE DATA SCIENTIST IA GÉNÉRATIVE / NLP / RAG H/F/X,France,Société Générale,Non renseigné,"3,6","Etudiant en 2ième ou 3ième année d’école d’ingénieur ou d’une formation orientée data science / software engineering, vous connaissez le cycle de vie d’un…&hellip;
Compétences: TensorFlow, GitLab, Python"
Alternance - Data Analyst (H/F),Paris,Metaverse college,25 k € (fourni par l’employeur),"2,0","L'école Metaverse College de PARIS recherche un(e) alternant(e) pour des entreprises partenaires dans les secteurs de la technologie, de la finance, et de…&hellip;
Compétences: Analyse de données"
Alternant(e) Data Analyst LVS (H/F),Chappes,LIMAGRAIN,Non renseigné,"3,6","Participer à l’animation des communautés d’utilisateurs des outils Data Analytics et à la montée en compétence des métiers sur l’exploitation des dashboards.&hellip;
Compétences: Power BI, Tableau, SQL, Visualisation de données"
Responsable Stratégie Référencement et Performance Data Produit H/F,Lezennes,Leroy Merlin,Non renseigné,"3,9","Contribuer à co-écrire la stratégie métier du référencement et de la performance data produit en lien avec les objectifs globaux de l’entreprise.&hellip;
Compétences: Agile"
Data Engineer Splunk F/H,Toulouse,CGI,Non renseigné,"3,7","Joignez-vous à nous, l’une des plus importantes entreprises de conseil en technologie de l’information (TI) et en management au monde.&hellip;
Compétences: Kubernetes, Ansible, Service client, Assistance technique, Java"
Développeur Python & DATA en alternance (H/F),Puteaux,Metaverse college,21 k € (fourni par l’employeur),"2,0","Vos missions : Participez à nos projets pour nos clients banques et assurances : ateliers métier, ateliers data, intégration du logiciel AfterData.&hellip;
Compétences: DevOps, Anglais, C++, Machine learning, Mise en oeuvre de projets"
Alternance - Automatisation technique & qualité des données F/H,Blois,Malakoff Humanis,Non renseigné,"4,3","Tu participeras à des projets concrets à fort impact, mêlant développement, intégration d'IA, automatisation et bonnes pratiques data.&hellip;
Compétences: Jira, Azure, Bases de données relationnelles, C#, Microsoft SQL Server"
IT Manager data backup H/F,Montreuil,BNP Paribas,Non renseigné,"3,8","CIB ITO Production est à la recherche d'un manager pour gérer l'équipe Backup. La définition et l'implémentation des standards technologiques.&hellip;
Compétences: Français, Expérience en gestion d'équipe, Service client, Anglais, Gestion d'équipe"
Alternance –Assistant Data / Web Analytics (H/F),Paris,Galileo Global Education France,Non renseigné,"2,9","Intégré(e) au sein de l’équipe data marketing, vous accompagnerez les chefs de projets dans la collecte, l’analyse et l’interprétation des données issues des…&hellip;
Compétences: Web analytics, SQL, Analytique des données, Python"
Online Data Analyst - French Language,France,TELUS International AI Inc,Non renseigné,"3,5","Daily access to a broadband internet connection, computer, and relevant software. No previous professional experience is required to apply to this role, however…&hellip;
Compétences: Français, Anglais"
Consultant en Protection des Données et Cybersécurité Microsoft - CCOE Microsoft,Courbevoie,Sopra Steria,Non renseigné,"3,6","Le Groupe apporte une réponse globale aux enjeux de compétitivité des grandes entreprises et organisations, en combinant une connaissance approfondie des…&hellip;
Compétences: Gestion des risques, Securité"
Chargé de Gestion Data F/H,Niort,Maif,28 k € - 32 k € (fourni par l’employeur),"4,0","Vous prendrez en charge des demandes de traitements de données, vous vous assurerez du bon fonctionnement des outils de gestion de bases de données de…&hellip;
Compétences: Power BI, Microsoft Excel, Veille économique, Service client, Esprit d'analyse"
Ingénieur-e Technico-Fonctionnel-le Data F/H,France,Framatome,40 k € - 50 k € (fourni par l’employeur),"4,0","Assister le métier pour les tests et recettes et l’approbation des livraisons (projets ou releases d’évolutions). De 40 à 50 K€. Curiosité et envie d’apprendre.&hellip;
Compétences: Power BI, Service client, Anglais, SQL, Esprit d'analyse"
Stagiaire Analyste DATA H/F,Montpellier,DYNEFF,"4,35 € Par heure (fourni par l’employeur)","3,4","Première expérience ou projet (personnel ou académique) en coding (Python, SQL, etc.). Formation en cours Bac+2 à Bac+5 (université, école d’ingénieurs, école…&hellip;
Compétences: Power BI, Anglais, Tableau, SQL, Esprit d'analyse"
Data Engineer Looker/LookML F/H,Ivry,Groupe Fnac Darty,Non renseigné,"3,6","Rejoignez la Data & AI Factory de FnacDarty, entité qui regroupe les compétences fonctionnelles et techniques qui contribue au développement de l’activité grâce…&hellip;
Compétences: Service client, Gouvernance de l'information, QlikView, Git, SQL"
Data Leader H/F/X,France,Société Générale,Non renseigné,"3,6","Au sein du département des MODÈLES (RISQ/MDL) de la direction des risques du Groupe (RISQ), le service de data management pour les modèles risques de crédit (…&hellip;
Compétences: SAS, Anglais, Gestion de projet, Gestion des risques, Sens de l'organisation"
Alternance – Assistant.e Data Contrôleur (H/F),Nantes,Galileo Global Education France,Non renseigné,"2,9","Un excellent sens relationnel pour échanger avec les clients, les partenaires et les parties prenantes. Vous participerez à la production comptable et fiscale…&hellip;"
Data Scientist et fiabilité opérationnelle,Guyancourt,CORSAIR SYSTEM,40 k € - 45 k € (fourni par l’employeur),"5,0",Réaliser les calculs des données retex sur la fiabilité opérationnelle des différents systèmes des véhicules blindés. Prise en charge du transport quotidien.&hellip;
Consultant Data Analyst H/F,Puteaux,STARCLAY,40 k € - 54 k € (fourni par l’employeur),Non noté,"Connaissance de l’environnement technique. Participer à l’optimisation des processus liés à la *gestion des données*. Capacité à *travailler en équipe*.&hellip;
Compétences: Power BI, Anglais, Tableau, SQL, Compétences en communication"
Data Engineer (H/F),Paris,Treezor,Non renseigné,"3,6","L’un des principaux axes pour atteindre cet objectif est l’automatisation des processus de transformation de la data au travers de pipelines data.&hellip;
Compétences: Google Docs, SQL, Python"
Alternant INGENIEUR DATA,Paris,Novartis,Non renseigné,"4,0","Contribuer à l'intégration des datas dans les systèmes Analytics et CRM,. Contribuer à la modélisation de la data dans l'environnement analytique.&hellip;
Compétences: Logiciels de GRC/CRM, Français, Power BI, Node.js, Salesforce"
Responsable Data et Stratégie Commerciale H/F,Puteaux,Cromology,Non renseigné,"4,0","Bac+5 (École de commerce, MIAGE ou équivalent) avec minimum 5 ans d’expérience, idéalement dans le secteur du bâtiment ou de l’industrie.&hellip;
Compétences: Expérience en gestion d'équipe, Veille économique, Anglais, Microsoft Office, SQL"
Data analyst H/F,Paris,Leasecom,Non renseigné,"2,8","Utiliser des outils de data visualisation comme Power BI ou Qlik pour présenter des données complexes de manière claire et compréhensible.&hellip;
Compétences: Power BI, SQL, Visualisation de données, Python"
Data ingénieur / ingénieure,Paris,Pix,Non renseigné,"3,7","En tant que membre de l’équipe data, travailler en collaboration avec l’équipe de développement pour améliorer globalement les pratiques et la gestion de la…&hellip;
Compétences: Compétences rédactionnelles, SQL, Scala, Entrepôt de données, Python"
Manager centre de Solutions Décisionnel DATA Levallois et Chartres F/H,Levallois-Perret,Groupe Covéa,Non renseigné,"4,1","Vous bénéficierez d’une formation sur le management, certifiante et innovante, pour vous accompagner dans l’entrée en fonction, vous donner des clés pour vous…&hellip;
Compétences: SAS"
