poste,lieu,entreprise,salaire,note,description
Data Engineer expert Snowflake (H/F),Wasquehal,Tape à l'oeil,50 k € - 60 k € (fourni par l’employeur),"3,6","Tape à l’Oeil s'engage en faveur de l'égalité des chances et de la diversité. Nous recherchons un.e Data Engineer Snowflake pour renforcer notre équipe DATA et…&hellip;
Compétences: Modélisation de données, Esprit d'analyse, Securité"
Alternance Data Marketer (F/H),Montreuil,ISCOD,Non renseigné,"2,6","L’ISCOD, spécialiste de la formation en Digital Learning, recherche pour son entreprise partenaire, propose des formations dans les secteurs du bâtiment, de…&hellip;
Compétences: Statistiques, Power BI, Salesforce, Sens de l'organisation, Marketing"
Lead Data Steward (F/H),Vélizy,SIMULIA,Non renseigné,"4,0","Vous devrez guider, coordonner et aider les différentes parties prenantes dans l’adoption de ce processus. Expériences de programmation en Python dans le cadre…&hellip;
Compétences: Anglais, Python"
Assistant comptable Data controller H/F,Vannes,QANTALIS entreprise,23 k € - 30 k € (fourni par l’employeur),Non noté,"_Vous êtes titulaire d’un diplôme en comptabilité ou gestion (BTS, DUT, Licence Pro ou équivalent). _. _Réaliser les déclarations périodiques (TVA, etc.) et…&hellip;
Compétences: Comptabilité fiscale, Logiciel de comptabilité, Comptabilité, Technologies de l'information"
Accelerator Data Science (Lyon),Lyon,Sanofi EU,Non renseigné,"4,0","Expertise in business analysis, data visualization and data storytelling. Use data analysis, visualization, storytelling, and data technologies to scope, define…&hellip;
Compétences: Français, CI/CD, Power BI, Internet des objets, Big data"
Accelerator Principal Data Architect (Lyon or Paris),Lyon,Sanofi EU,Non renseigné,"4,0","Demonstrated technical and functional expertise in Data and AI, encompassing areas like data engineering, data architecture, master data management, data lakes…&hellip;
Compétences: Jira, Modélisation de données, Azure, Schémas, Anglais"
Data Analyst H/F - CDI,Levallois-Perret,centre national d'apprentissage à distance,2 k € - 4 k € (fourni par l’employeur),Non noté,"Créer des visualisations de données à l'aide d'outils comme Power BI et Tableau pour faciliter la compréhension des résultats. Bac +5 (Master / MBA) (Requis).&hellip;
Compétences: Power BI, R, Analyse de données, Tableau, SQL"
Data Analyst (H/F) - Alternance,Orléans,Ecole Coda,2 k € (fourni par l’employeur),"5,0","Coda, l’école supérieure en informatique qui forme des experts en informatique engagés et sensibilisés à l’impact climatique de l’usage du numérique, recherche…&hellip;
Compétences: Statistiques, Informatique, Power BI, R, Anglais"
Lead Data Scientist F/H (D&I/CE DATA),Paris,RATP EPIC,Non renseigné,"3,8","Que techniques (delivery leads, architectes, data/ML engineers, etc.), et participer à l’animation des comités projets.&hellip;
Compétences: Statistiques, Spark, Git, SQL, Intelligence artificielle"
Data Domain Lead - Finance F/M/X,Gignac,Royal Canin S.A.S,Non renseigné,"4,3","5-7 years of experience in data management, Data Engineering, or related roles, with exposure to specific data domains (e.g., Finance, Supply Chain).&hellip;
Compétences: CI/CD, Power BI, Modélisation de données, Azure, Big data"
